,temp,pressure,humidity,rain_1h,play
1528,271.0,1016.0,86.0,0.0,1.0
1530,271.0,1016.0,86.0,0.0,1.0
1532,270.0,1017.0,79.0,0.0,1.0
1534,269.0,1018.0,79.0,0.0,1.0
1536,268.0,1019.0,79.0,0.0,1.0
1540,270.0,1019.0,73.0,0.0,1.0
1547,269.0,1021.0,85.0,0.0,1.0
1550,266.0,1021.0,85.0,0.0,0.0
1552,265.0,1021.0,92.0,0.0,0.0
1558,264.0,1021.0,85.0,0.0,1.0
1563,267.0,1019.0,85.0,0.0,0.0
1565,267.0,1018.0,92.0,0.0,0.0
1566,267.0,1017.0,92.0,0.0,0.0
1568,267.0,1016.0,92.0,0.0,0.0
1571,267.0,1014.0,85.0,0.0,1.0
1575,267.0,1011.0,79.0,0.0,0.0
1582,269.0,1009.0,92.0,0.0,1.0
1586,270.0,1009.0,86.0,0.0,0.0
1589,271.0,1008.0,92.0,0.0,0.0
1595,271.0,1010.0,100.0,0.0,1.0
1601,271.0,1011.0,100.0,0.0,0.0
1604,271.0,1011.0,92.0,0.0,0.0
1606,271.0,1011.0,92.0,0.0,0.0
1613,272.0,1011.0,92.0,0.0,0.0
1616,273.0,1011.0,100.0,0.0,0.0
1618,273.0,1011.0,93.0,0.0,1.0
1619,273.0,1011.0,100.0,0.0,1.0
1628,273.0,1012.0,92.0,0.0,1.0
1629,273.0,1012.0,92.0,0.0,1.0
1636,271.0,1015.0,92.0,0.0,1.0
1637,271.0,1016.0,92.0,0.0,1.0
1641,270.0,1018.0,86.0,0.0,1.0
1643,270.0,1019.0,86.0,0.0,1.0
1648,268.0,1021.0,85.0,0.0,0.0
1650,268.0,1022.0,92.0,0.0,0.0
1665,269.0,1026.0,85.0,0.0,0.0
1672,268.0,1026.0,92.0,0.0,1.0
1673,268.0,1027.0,92.0,0.0,1.0
1675,268.0,1026.0,85.0,0.0,1.0
1679,268.0,1026.0,92.0,0.0,0.0
1680,268.0,1026.0,92.0,0.0,0.0
1682,268.0,1026.0,92.0,0.0,0.0
1684,268.0,1027.0,92.0,0.0,1.0
1688,268.0,1026.0,85.0,0.0,1.0
1689,268.0,1026.0,85.0,0.0,0.0
1692,267.0,1026.0,85.0,0.0,0.0
1693,267.0,1027.0,85.0,0.0,1.0
1694,267.0,1026.0,85.0,0.0,1.0
1701,268.0,1027.0,92.0,0.0,0.0
1705,269.0,1028.0,92.0,0.0,1.0
1709,269.0,1029.0,100.0,0.0,1.0
1710,269.0,1030.0,92.0,0.0,1.0
